Query,BIR_Classic_WithRel AP,LM_JelinekMercer AP,Gain BIR_Classic_WithRel vs LM_JelinekMercer (%)
Q1,0.967,0.719,34.4923504867872
Q2,0.6,0.4365,37.457044673539514
Q3,0.6264,0.4845,29.287925696594424
Q4,0.5465,0.3239,68.72491509725222
Q5,0.8169,0.8156,0.15939185875428738
Q6,0.7352,0.7987,-7.950419431576313
Q7,0.5855,0.0232,2423.7068965517246
Q8,0.2931,0.0323,807.4303405572756
Q9,0.8155,0.3774,116.08373078961314
Q10,0.2065,0.2225,-7.191011235955062
Mean,0.6192599999999999,0.42336,350.22011650440095
