Query,BIR_Classic AP,BIR_Extended_WithRel AP,Gain BIR_Classic vs BIR_Extended_WithRel (%)
Q1,0.7275,0.9886,-26.411086384786564
Q2,0.4422,0.4716,-6.234096692111967
Q3,0.5996,0.5266,13.862514242309166
Q4,0.3596,0.4566,-21.243977222952264
Q5,0.7763,0.7807,-0.5635967721275728
Q6,0.7025,0.7561,-7.089009390292286
Q7,0.5684,0.5995,-5.187656380316933
Q8,0.2342,0.4986,-53.02847974328119
Q9,0.3675,0.7296,-49.629934210526315
Q10,0.1761,0.2419,-27.201322860686233
Mean,0.4953899999999999,0.6049800000000001,-18.272664541477212
