Query,BIR_Extended AP,BIR_Extended_WithRel AP,Gain BIR_Extended vs BIR_Extended_WithRel (%)
Q1,0.8123,0.9886,-17.833299615618046
Q2,0.369,0.4716,-21.7557251908397
Q3,0.5243,0.5266,-0.4367641473604194
Q4,0.2378,0.4566,-47.919404292597456
Q5,0.7608,0.7807,-2.5489944921224437
Q6,0.7094,0.7561,-6.17643168893003
Q7,0.5979,0.5995,-0.2668890742285314
Q8,0.5291,0.4986,6.1171279582831986
Q9,0.4063,0.7296,-44.31195175438597
Q10,0.2317,0.2419,-4.216618437370821
Mean,0.51786,0.6049800000000001,-13.934895073517021
