,BIR_Classic,BIR_Classic_WithRel,BIR_Extended,BIR_Extended_WithRel,BM25,LM_Add1,LM_Dirichlet,LM_JelinekMercer,LM_MLE,LSI,VSM
BIR_Classic,0.0,-19.163625008653124,-1.817213189558974,-18.272664541477212,-14.856802868836066,-3.6135515149932536,297.7257918994852,297.2003554135439,939.1372267356352,-9.008562373092508,-11.355042767562024
BIR_Classic_WithRel,30.226054648766144,0.0,28.510521696365622,1.9143752306806987,10.011406863005858,27.12375723247655,351.4453540074393,350.22011650440095,1167.4696647463902,18.009602968876532,14.29561907591788
BIR_Extended,12.08977962238726,-9.299880233718048,0.0,-13.934895073517021,-10.369955587125068,6.256407183235463,400.1596304443187,398.8273322735655,1006.6832258065718,-7.66339102924294,-7.116653078434764
BIR_Extended_WithRel,31.979713313348043,2.5975790899033138,22.96332371618823,0.0,7.355220460341583,26.862858116660455,413.0180992506865,411.53306505213516,1163.1890563747045,13.442236113052555,10.895708896365424
BM25,22.929126440775114,-1.3532655805690879,14.004165958705945,-4.312654686238664,0.0,16.508376651345426,414.8915723830497,413.7338397960854,1120.911826385301,5.734038127993455,3.6057931812902133
LM_Add1,6.435146953799508,-13.861987030785983,3.9086206601787667,-13.837245583556415,-10.611582533758357,0.0,311.60033862046885,311.00413434974445,975.9499518173913,-4.136706425527743,-7.57443985371655
LM_Dirichlet,-17.68761250289041,-34.551173315763364,-14.713091740615454,-31.163429232782647,-27.43220726920587,-20.3629361323308,0.0,-0.3977909005004731,643.9143643670691,-23.12080462288422,-25.483764958974852
LM_JelinekMercer,-16.590898972865205,-33.87944528978149,-14.588502044395213,-30.76112723319277,-26.897201713708693,-19.329932443872856,1.2032583694426224,0.0,653.5211061790121,-23.999581420229035,-24.57098123447074
LM_MLE,-81.82161046310335,-85.06413321782762,-82.94588099282088,-85.2735132474611,-84.77202207461723,-82.54747490511382,-64.14546423944509,-64.48261253726496,0.0,-85.35682541978953,-84.17552430386426
LSI,29.43352778043128,4.038369538059433,15.904227915341346,-0.29312083004497114,4.238095391548468,20.832719377977497,380.9432065388562,378.13257880682505,1051.806285715013,0.0,7.657451394781743
VSM,20.556269614820344,-3.4402688997203237,11.362663084152015,-7.120208090382045,-2.611548362514214,13.343655801510849,383.5748750486862,382.88898739888333,1072.3735141473626,3.820593533520289,0.0
