Query,BIR_Classic_WithRel DCG@20,VSM DCG@20,Gain BIR_Classic_WithRel vs VSM (%)
Q1,48.7713,1.7549,2679.149809105932
Q2,43.3649,1.6603,2511.8713485514663
Q3,39.2643,1.3624,2781.995008807986
Q4,30.9,1.4717,1999.61269280424
Q5,85.1613,1.6413,5088.649241454945
Q6,71.2388,3.2919,2064.063306904827
Q7,79.7829,1.7242,4527.241619301705
Q8,68.836,1.5843,4244.884175976772
Q9,36.6931,1.1836,3000.1267320040556
Q10,11.6488,1.2238,851.8548782480798
Mean,51.566140000000004,1.6898399999999998,2974.9448813160006
