Query,BIR_Classic DCG@20,BIR_Classic_WithRel DCG@20,Gain BIR_Classic vs BIR_Classic_WithRel (%)
Q1,24.7694,48.7713,-49.2131642994958
Q2,41.7941,43.3649,-3.6222843820693655
Q3,30.9168,39.2643,-21.259770325715728
Q4,25.7577,30.9,-16.64174757281553
Q5,61.2813,85.1613,-28.04090590444251
Q6,50.8799,71.2388,-28.578387058737654
Q7,79.6917,79.7829,-0.11431020933057161
Q8,57.0044,68.836,-17.188099250392238
Q9,35.8103,36.6931,-2.405901927065315
Q10,15.764,11.6488,35.327244007966485
Mean,42.36696,51.566140000000004,-13.173732692209825
