Query,BIR_Extended_WithRel DCG@20,BM25 DCG@20,Gain BIR_Extended_WithRel vs BM25 (%)
Q1,53.4543,37.4276,42.82053885368019
Q2,29.153,56.9002,-48.7646792102664
Q3,24.4617,38.6094,-36.64314907768574
Q4,17.5809,34.6095,-49.20209768994062
Q5,67.2322,83.7335,-19.706927334937628
Q6,70.5532,77.9378,-9.474991595862331
Q7,76.2844,107.9673,-29.344903503190313
Q8,69.4196,79.5101,-12.69084053472451
Q9,32.6778,42.2172,-22.596003524629772
Q10,9.977,21.1429,-52.811582138684855
Mean,45.07941,58.00555000000001,-23.841463575624196
