Query,BIR_Extended_WithRel DCG@20,LSI DCG@20,Gain BIR_Extended_WithRel vs LSI (%)
Q1,53.4543,13.4592,297.15807774607714
Q2,29.153,15.7052,85.62641672821741
Q3,24.4617,10.5869,131.05630543407418
Q4,17.5809,8.4769,107.39775153652866
Q5,67.2322,18.1547,270.3294463692598
Q6,70.5532,29.2945,140.84111351960266
Q7,76.2844,32.0053,138.34927340159288
Q8,69.4196,16.581,318.66956154634823
Q9,32.6778,16.1843,101.91049350296272
Q10,9.977,3.3433,198.41773098435678
Mean,45.07941,16.379129999999996,178.975617076902
