Query,BIR_Classic_WithRel DCG@20,BIR_Extended DCG@20,Gain BIR_Classic_WithRel vs BIR_Extended (%)
Q1,48.7713,27.4285,43.76098238103147
Q2,43.3649,26.5432,38.791049904415786
Q3,39.2643,18.3863,53.17298411024773
Q4,30.9,18.6853,39.52977346278316
Q5,85.1613,43.3158,49.13675577991411
Q6,71.2388,49.0371,31.165179649292234
Q7,79.7829,78.617,1.461340713360875
Q8,68.836,45.4556,33.965366959149286
Q9,36.6931,26.2673,28.413516437695375
Q10,11.6488,14.0552,-17.1210655131197
Mean,51.566140000000004,34.779129999999995,30.227588388477034
