Query,BIR_Classic DCG@20,BIR_Extended DCG@20,Gain BIR_Classic vs BIR_Extended (%)
Q1,24.7694,27.4285,-9.694660663178805
Q2,41.7941,26.5432,36.49055727961603
Q3,30.9168,18.3863,40.52974434611603
Q4,25.7577,18.6853,27.45742049950111
Q5,61.2813,43.3158,29.31644726857948
Q6,50.8799,49.0371,3.621862464352322
Q7,79.6917,78.617,1.3485720595745767
Q8,57.0044,45.4556,20.25948874121998
Q9,35.8103,26.2673,26.64875748038972
Q10,15.764,14.0552,10.839888353209846
Mean,42.36696,34.779129999999995,18.68180778293803
