Query,BIR_Classic DCG@20,BM25 DCG@20,Gain BIR_Classic vs BM25 (%)
Q1,24.7694,37.4276,-33.82049610447904
Q2,41.7941,56.9002,-26.54841283510427
Q3,30.9168,38.6094,-19.92416354566505
Q4,25.7577,34.6095,-25.576214623152598
Q5,61.2813,83.7335,-26.813879749443174
Q6,50.8799,77.9378,-34.71730020606175
Q7,79.6917,107.9673,-26.189040570617212
Q8,57.0044,79.5101,-28.305460564129586
Q9,35.8103,42.2172,-15.176041992363304
Q10,15.764,21.1429,-25.44069167427364
Mean,42.36696,58.00555000000001,-26.251170186528963
