Query,BIR_Extended DCG@20,BIR_Extended_WithRel DCG@20,Gain BIR_Extended vs BIR_Extended_WithRel (%)
Q1,27.4285,53.4543,-48.687944655528185
Q2,26.5432,29.153,-8.952080403389017
Q3,18.3863,24.4617,-24.836376866693655
Q4,18.6853,17.5809,5.910528597346587
Q5,43.3158,67.2322,-35.57283563530571
Q6,49.0371,70.5532,-30.49627798597371
Q7,78.617,76.2844,2.967042751567726
Q8,45.4556,69.4196,-34.520510057678244
Q9,26.2673,32.6778,-19.617293697862156
Q10,14.0552,9.977,29.015595651431493
Mean,34.779129999999995,45.07941,-16.47901523020849
