Query,BIR_Extended DCG@20,BM25 DCG@20,Gain BIR_Extended vs BM25 (%)
Q1,27.4285,37.4276,-26.715846060126747
Q2,26.5432,56.9002,-53.351306322297646
Q3,18.3863,38.6094,-52.37869534362098
Q4,18.6853,34.6095,-46.01106632571981
Q5,43.3158,83.7335,-48.26945010061684
Q6,49.0371,77.9378,-37.08174980561421
Q7,78.617,107.9673,-27.184434546385795
Q8,45.4556,79.5101,-42.830407709209275
Q9,26.2673,42.2172,-37.78057284708603
Q10,14.0552,21.1429,-33.52283745370787
Mean,34.779129999999995,58.00555000000001,-40.51263665143852
